epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6809,1.26166,3.5637,1.08225,0.00229,0.91667,0.42568,0.1865,1.29774,4.72127,0.99206,0.00038,0.00038,0.00038
2,158.489,1.295,2.38014,1.11942,0.00213,0.85,0.01967,0.0112,1.45362,4.66522,1.03646,0.00076713,0.00076713,0.00076713
3,240.513,1.41117,2.02782,1.16444,0.00208,0.83333,0.05722,0.03648,1.53523,4.49107,1.10643,0.00114106,0.00114106,0.00114106
4,322.059,1.34117,2.00794,1.16252,0.82734,0.47927,0.59415,0.28479,1.58675,3.42028,1.16282,0.00150179,0.00150179,0.00150179
5,400.11,1.44806,1.88248,1.21708,0.48647,0.37899,0.34958,0.15945,1.7518,4.37983,1.26254,0.00184932,0.00184932,0.00184932
6,472.629,1.41213,1.75698,1.179,0.89942,0.78333,0.8471,0.47894,1.42487,2.20383,1.08544,0.001835,0.001835,0.001835
7,545.261,1.38457,1.58165,1.18686,0.82162,0.76767,0.8191,0.38538,1.77297,2.28848,1.25571,0.001802,0.001802,0.001802
8,617.648,1.40314,1.56484,1.14749,0.89954,0.74626,0.85404,0.42299,1.63621,2.05383,1.18123,0.001769,0.001769,0.001769
9,690.321,1.3366,1.36222,1.17284,0.7921,0.82556,0.82732,0.45457,1.42343,1.78489,1.04908,0.001736,0.001736,0.001736
10,763.897,1.36397,1.32368,1.18317,0.53669,0.73364,0.69151,0.38225,1.39726,2.55329,1.08484,0.001703,0.001703,0.001703
11,836.249,1.36055,1.29562,1.18387,0.76989,0.7807,0.81949,0.48033,1.24019,1.96461,1.03787,0.00167,0.00167,0.00167
12,909.433,1.36268,1.18111,1.17971,0.88021,0.76667,0.85308,0.45359,1.50502,1.49398,1.15024,0.001637,0.001637,0.001637
13,982.012,1.33541,1.1947,1.14157,0.8724,0.88333,0.88178,0.45691,1.44864,1.50192,1.1479,0.001604,0.001604,0.001604
14,1055.45,1.27138,1.11097,1.15833,0.8361,0.8502,0.85714,0.52117,1.27715,1.60398,1.01613,0.001571,0.001571,0.001571
15,1127.88,1.25426,1.04157,1.11574,0.7893,0.88333,0.86859,0.48075,1.35869,1.37105,1.03943,0.001538,0.001538,0.001538
16,1200.46,1.29436,1.07474,1.16254,0.88417,0.8906,0.91409,0.52825,1.37173,1.51892,1.04504,0.001505,0.001505,0.001505
17,1272.52,1.33466,1.04214,1.16565,0.92078,0.93333,0.92717,0.52688,1.40606,1.03872,1.04409,0.001472,0.001472,0.001472
18,1345.62,1.28993,1.05245,1.11949,0.91674,0.83333,0.87573,0.46087,1.53778,1.47202,1.09884,0.001439,0.001439,0.001439
19,1418.71,1.28038,1.06437,1.1411,0.84773,0.9,0.88055,0.46516,1.47209,1.15821,1.10876,0.001406,0.001406,0.001406
20,1492.03,1.2225,0.91164,1.14381,0.84064,0.87923,0.87697,0.47553,1.45972,1.25491,1.10693,0.001373,0.001373,0.001373
21,1564.85,1.1988,0.93207,1.11074,0.92298,0.88333,0.92702,0.57152,1.19394,0.92231,1.00567,0.00134,0.00134,0.00134
22,1637.16,1.22152,0.8957,1.14998,0.925,0.9,0.90816,0.53776,1.33013,0.96643,1.03391,0.001307,0.001307,0.001307
23,1710.67,1.20602,0.88201,1.07783,0.95972,0.79423,0.87188,0.56687,1.19059,0.88616,1.0115,0.001274,0.001274,0.001274
24,1784.51,1.2068,0.83149,1.08115,0.90262,0.86667,0.91673,0.617,1.04958,0.82898,0.96279,0.001241,0.001241,0.001241
25,1858.48,1.22964,0.83524,1.12169,0.94171,0.9,0.9276,0.64007,1.04309,0.82405,0.97545,0.001208,0.001208,0.001208
26,1930.98,1.19223,0.81651,1.08278,0.96612,0.88333,0.90914,0.5436,1.35522,0.8442,1.02221,0.001175,0.001175,0.001175
27,2003.97,1.17925,0.84244,1.08973,0.9673,0.93333,0.95553,0.61523,1.19464,0.82132,1.00701,0.001142,0.001142,0.001142
28,2076.72,1.23625,0.84381,1.10545,1,0.90841,0.9383,0.59247,1.18042,0.72861,0.98413,0.001109,0.001109,0.001109
29,2150.25,1.17865,0.82083,1.0833,0.91791,0.93178,0.92622,0.56567,1.23088,0.78213,1.0024,0.001076,0.001076,0.001076
30,2223.46,1.14846,0.80522,1.08981,0.9627,0.9,0.95322,0.59894,1.28058,0.77148,0.99611,0.001043,0.001043,0.001043
31,2296.38,1.18122,0.81797,1.12626,0.92892,0.91667,0.91747,0.54234,1.35345,0.85722,1.00977,0.00101,0.00101,0.00101
32,2369.7,1.21719,0.80774,1.08357,0.92151,0.88333,0.92249,0.60426,1.18053,0.82355,0.95689,0.000977,0.000977,0.000977
33,2443.64,1.1869,0.82449,1.12258,0.93859,0.9,0.92858,0.53339,1.41765,0.97492,1.02747,0.000944,0.000944,0.000944
34,2516.6,1.1786,0.78332,1.09286,0.93799,0.91667,0.94994,0.59492,1.18567,0.78924,0.98468,0.000911,0.000911,0.000911
35,2589.5,1.1414,0.77781,1.11326,0.90028,0.90282,0.92082,0.52731,1.4885,0.81941,1.06191,0.000878,0.000878,0.000878
36,2662.74,1.16218,0.78086,1.08393,0.95693,0.91667,0.95016,0.63787,1.07385,0.75358,0.94399,0.000845,0.000845,0.000845
37,2735.61,1.04837,0.73259,1.06042,0.91626,0.93333,0.94817,0.62655,1.06778,0.75035,0.94245,0.000812,0.000812,0.000812
38,2807.88,1.13008,0.73874,1.04867,0.96532,0.91667,0.93622,0.53345,1.37634,0.75695,1.0147,0.000779,0.000779,0.000779
39,2881.11,1.07508,0.70049,1.05738,0.94992,0.94845,0.95739,0.57103,1.20062,0.71287,0.98933,0.000746,0.000746,0.000746
40,2953.73,1.00847,0.70336,1.01721,0.94645,0.88364,0.92511,0.53708,1.40491,0.71903,1.03151,0.000713,0.000713,0.000713
41,3026.8,1.15612,0.73361,1.06152,0.94764,0.9049,0.94225,0.63249,1.126,0.66527,0.95164,0.00068,0.00068,0.00068
42,3099.59,1.02312,0.65906,1.03044,0.93946,0.93333,0.94186,0.56428,1.28514,0.70554,0.99217,0.000647,0.000647,0.000647
43,3172.37,1.03819,0.65753,1.04144,0.98236,0.92845,0.96877,0.66876,0.98149,0.59871,0.91266,0.000614,0.000614,0.000614
44,3245.12,1.05768,0.70208,1.02476,0.94781,0.90817,0.95615,0.65222,0.98747,0.68156,0.91679,0.000581,0.000581,0.000581
45,3317.95,1.04701,0.68833,1.0251,0.94112,0.9,0.95885,0.63303,1.02188,0.65253,0.93719,0.000548,0.000548,0.000548
46,3391.03,1.1035,0.6869,1.07679,0.93356,0.91667,0.92626,0.51495,1.48517,0.72259,1.06476,0.000515,0.000515,0.000515
