epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.918,0.62082,3.11308,0.91853,0.00328,0.98246,0.20138,0.1789,0.46427,3.1219,0.80565,6e-05,6e-05,6e-05
2,202.881,0.66925,2.85175,0.92612,0.00333,1,0.80514,0.69848,0.4659,2.82873,0.7714,0.00013769,0.00013769,0.00013769
3,262.463,0.56261,1.56675,0.87749,1,0.33093,0.95377,0.756,0.59146,2.48712,0.77429,0.00021274,0.00021274,0.00021274
4,323.174,0.671,1.31744,0.90116,1,0.73221,0.97327,0.79622,0.59621,2.35068,0.78104,0.00028515,0.00028515,0.00028515
5,381.364,0.69547,1.17571,0.88213,1,0.57277,0.97445,0.80554,0.57596,2.43781,0.78894,0.00035492,0.00035492,0.00035492
6,442.519,0.58166,1.1624,0.85756,1,0.39782,0.96883,0.82138,0.55187,2.5256,0.7819,0.00042205,0.00042205,0.00042205
7,521.048,0.64389,1.18688,0.90002,1,0.47868,0.97623,0.81448,0.53412,2.50251,0.78217,0.00048654,0.00048654,0.00048654
8,651.71,0.65769,1.06657,0.91942,1,0.45749,0.97451,0.83385,0.51765,2.48892,0.78584,0.00054839,0.00054839,0.00054839
9,810.644,0.54945,1.08256,0.87951,1,0.40881,0.95092,0.79687,0.5395,2.51778,0.78878,0.0006076,0.0006076,0.0006076
10,888.366,0.62256,1.10114,0.89947,1,0.52564,0.92235,0.7652,0.56502,2.47601,0.79239,0.00066417,0.00066417,0.00066417
11,965.992,0.62634,1.09326,0.86026,1,0.5052,0.90922,0.74725,0.59841,2.47657,0.8,0.0007181,0.0007181,0.0007181
12,1042.82,0.70774,1.12616,0.92234,1,0.19878,0.91086,0.75013,0.56572,2.55178,0.80206,0.00076939,0.00076939,0.00076939
13,1123.22,0.61938,0.99089,0.87616,1,0.27258,0.89829,0.75434,0.55414,2.5277,0.82675,0.00081804,0.00081804,0.00081804
14,1198.28,0.59849,1.0772,0.94287,1,0.38834,0.9051,0.76946,0.57879,2.45028,0.83614,0.00086405,0.00086405,0.00086405
15,1334.3,0.60022,0.95792,0.90449,0.96569,0.49389,0.87383,0.75223,0.57959,2.28109,0.8279,0.00090742,0.00090742,0.00090742
16,1438.48,0.58298,1.00533,0.88557,0.97384,0.65322,0.93516,0.79988,0.58586,2.14529,0.83067,0.00094815,0.00094815,0.00094815
17,1532.07,0.64767,1.06009,0.9287,1,0.79197,0.97709,0.83254,0.56865,2.1429,0.82615,0.00098624,0.00098624,0.00098624
18,1632.42,0.57546,1.05358,0.90511,0.9656,0.77193,0.92584,0.78956,0.56396,2.01473,0.82977,0.00102169,0.00102169,0.00102169
19,1706.78,0.62565,0.979,0.89732,0.81211,0.8342,0.78503,0.6502,0.57997,1.95793,0.8495,0.0010545,0.0010545,0.0010545
