epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8164,0.61395,3.10247,0.91276,0.00328,0.98246,0.19449,0.17294,0.46689,3.11768,0.80774,6e-05,6e-05,6e-05
2,30.8801,0.64732,2.84913,0.92282,0.00333,1,0.76192,0.65775,0.48026,2.84964,0.77981,0.00013769,0.00013769,0.00013769
3,44.9126,0.5667,1.55004,0.87088,1,0.28309,0.93001,0.75548,0.6123,2.51208,0.77639,0.00021274,0.00021274,0.00021274
4,59.1097,0.64977,1.26235,0.89533,1,0.60866,0.93769,0.79654,0.58763,2.41588,0.78253,0.00028515,0.00028515,0.00028515
5,72.8954,0.72543,1.18697,0.88124,1,0.30985,0.9164,0.78037,0.58901,2.55552,0.79611,0.00035492,0.00035492,0.00035492
6,86.9045,0.61795,1.15174,0.85759,1,0.10996,0.88481,0.77301,0.54177,2.66519,0.79404,0.00042205,0.00042205,0.00042205
7,100.687,0.62412,1.18418,0.89741,1,0.156,0.86373,0.7618,0.52593,2.65922,0.7939,0.00048654,0.00048654,0.00048654
8,113.626,0.63161,1.04984,0.91219,1,0.31795,0.81057,0.71985,0.52641,2.67325,0.80805,0.00054839,0.00054839,0.00054839
9,126.237,0.56563,1.0468,0.87914,1,0.22066,0.74338,0.64762,0.56125,2.76901,0.83357,0.0006076,0.0006076,0.0006076
10,139.682,0.61135,1.07016,0.90544,1,0.17535,0.75489,0.65659,0.59026,2.81104,0.84283,0.00066417,0.00066417,0.00066417
11,153.561,0.60929,1.14726,0.87041,1,0.15214,0.75699,0.63388,0.5764,2.79879,0.8372,0.0007181,0.0007181,0.0007181
12,167.114,0.64826,1.09064,0.89579,1,0.25238,0.81504,0.67687,0.54332,2.64469,0.80499,0.00076939,0.00076939,0.00076939
13,180.669,0.60072,0.94721,0.88423,1,0.2257,0.84092,0.69812,0.5381,2.61157,0.8014,0.00081804,0.00081804,0.00081804
14,194.257,0.57637,1.0578,0.90982,1,0.23681,0.88287,0.73629,0.57769,2.57839,0.81149,0.00086405,0.00086405,0.00086405
15,207.852,0.57219,0.93399,0.89659,1,0.3763,0.94799,0.79289,0.6037,2.41543,0.82221,0.00090742,0.00090742,0.00090742
16,221.441,0.58407,0.93653,0.88196,1,0.37869,0.98276,0.80713,0.61689,2.40218,0.82066,0.00094815,0.00094815,0.00094815
17,235.064,0.67516,1.10277,0.92932,1,0.32429,0.95667,0.79259,0.62495,2.49691,0.82981,0.00098624,0.00098624,0.00098624
18,248.853,0.56027,1.04272,0.88801,0.9438,0.58933,0.94352,0.80219,0.58271,2.23147,0.82603,0.00102169,0.00102169,0.00102169
19,262.297,0.67467,0.99286,0.9166,0.91722,0.77761,0.92949,0.80783,0.57263,2.04445,0.82512,0.0010545,0.0010545,0.0010545
20,275.666,0.6603,0.97971,0.91265,0.91813,0.78697,0.92802,0.78936,0.5914,1.96648,0.83517,0.00108467,0.00108467,0.00108467
21,289.113,0.67303,0.97512,0.9359,0.78257,0.8841,0.80819,0.67537,0.61904,1.88848,0.85595,0.0011122,0.0011122,0.0011122
22,302.615,0.67963,0.99635,0.93822,0.69221,0.82862,0.75364,0.60006,0.63594,1.79783,0.86496,0.00113709,0.00113709,0.00113709
23,315.992,0.73445,0.97466,0.95047,0.80262,0.87719,0.8581,0.71297,0.61548,1.79362,0.86521,0.00115934,0.00115934,0.00115934
24,329.352,0.58616,0.93867,0.89134,0.96249,0.96491,0.99069,0.86114,0.55661,1.38635,0.83444,0.00117895,0.00117895,0.00117895
25,342.678,0.65102,1.00478,0.95484,1,0.97885,0.995,0.87612,0.53785,1.30605,0.8322,0.00119592,0.00119592,0.00119592
